scorer,DLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000,DLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000,DLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000,DLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000,DLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000,DLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000,DLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000,DLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000,DLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000
bodyparts,shoulder,shoulder,shoulder,elbow,elbow,elbow,wrist,wrist,wrist
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
162,1214.483887,516.4073486,0.850406826,1128.49231,631.5921021,0.720834494,1748.940186,178.8137512,0.005895674
163,1214.702271,515.7832642,0.855555534,1128.858154,631.9786377,0.748975873,1700.94104,328.4117737,0.005114615
164,1212.982666,515.4586792,0.887017369,1128.651245,632.7526855,0.750032306,1701.3927,327.3122559,0.004827052
165,1213.392944,517.0239258,0.838102579,1128.674683,632.8922729,0.744896114,1134.304321,623.9778442,0.005739182
166,1211.719604,516.5838623,0.882122397,1127.920898,632.5925903,0.777929962,1748.910767,179.7046356,0.004841805
167,1212.302002,517.7653809,0.880716085,1128.533325,633.6387939,0.781963468,1134.509033,624.2783813,0.006202877
168,1211.968018,517.2506714,0.848051429,1129.398071,633.9464722,0.827123642,1748.382568,180.8894348,0.016765863
169,1212.223999,517.0630493,0.899365783,1129.703857,634.2249756,0.806665003,1743.274048,179.5851135,0.00655517
170,1214.420044,516.9825439,0.878967404,1130.162476,634.4440918,0.797050238,1135.808228,634.7807617,0.004725516
171,1220.387817,520.9276123,0.685597181,1130.819824,634.3187256,0.742938817,1135.859009,634.6917725,0.007170558
172,1215.760132,515.2280884,0.895081818,1132.895508,633.5255737,0.787486732,1136.848755,634.3649902,0.006256253
173,1216.198364,514.28479,0.896340609,1132.392822,633.6929932,0.75912559,1136.856079,634.7342529,0.004895717
